"geodatasource_country","geodatasource_region","amchart_country","amchart_id"
"CV","Porto Novo","CV","CV-PN"
"CV","Praia","CV","CV-PR"
"CV","Sal","CV","CV-SL"
"CV","Santa Catarina","CV","CV-CA"
"CV","Sao Filipe","CV","CV-SF"
"CV","Sao Vicente","CV","CV-SV"
"CV","Brava","CV","CV-BR"
"CV","Maio","CV","CV-MA"
"CV","Mosteiros","CV","CV-MO"
"CV","Paul","CV","CV-PA"
"CV","Ribeira Brava","CV","CV-RB"
"CV","Ribeira Grande","CV","CV-RG"
"CV","Ribeira Grande de Santiago","CV","CV-RS"
"CV","Santa Catarina do Fogo","CV","CV-CF"
"CV","Santa Cruz","CV","CV-CR"
"CV","Sao Domingos","CV","CV-SD"
"CV","Sao Lourenco dos Orgaos","CV","CV-SO"
"CV","Sao Miguel","CV","CV-SM"
"CV","Sao Salvador do Mundo","CV","CV-SS"
"CV","Tarrafal","CV","CV-TA"
"CV","Tarrafal de Sao Nicolau","CV","CV-TS"
"CW","Curacao","CW","CW"
"CX","Christmas Island","CX","CX"
"CY","Ammochostos","CY","CY-04"
"CY","Keryneia","CY","CY-06"
"CY","Larnaka","CY","CY-03"
"CY","Lefkosia","CY","CY-01"
"CY","Lemesos","CY","CY-02"
"CY","Pafos","CY","CY-05"
"CZ","Jihocesky kraj","CZ","CZ-JC"
"CZ","Jihomoravsky kraj","CZ","CZ-JM"
"CZ","Karlovarsky kraj","CZ","CZ-KA"
"CZ","Kraj Vysocina","CZ","CZ-VY"
"CZ","Kralovehradecky kraj","CZ","CZ-KR"
"CZ","Liberecky kraj","CZ","CZ-LI"
"CZ","Moravskoslezsky kraj","CZ","CZ-MO"
"CZ","Olomoucky kraj","CZ","CZ-OL"
"CZ","Pardubicky kraj","CZ","CZ-PA"
"CZ","Plzensky kraj","CZ","CZ-PL"
"CZ","Praha, Hlavni mesto","CZ","CZ-PR"
"CZ","Stredocesky kraj","CZ","CZ-ST"
"CZ","Ustecky kraj","CZ","CZ-US"
"CZ","Zlinsky kraj","CZ","CZ-ZL"
"DE","Baden-Wurttemberg","DE","DE-BW"
"DE","Bayern","DE","DE-BY"
"DE","Berlin","DE","DE-BE"
"DE","Brandenburg","DE","DE-BB"
"DE","Bremen","DE","DE-HB"
"DE","Hamburg","DE","DE-HH"
"DE","Hessen","DE","DE-HE"
"DE","Mecklenburg-Vorpommern","DE","DE-MV"
"DE","Niedersachsen","DE","DE-NI"
"DE","Nordrhein-Westfalen","DE","DE-NW"
"DE","Rheinland-Pfalz","DE","DE-RP"
"DE","Saarland","DE","DE-SL"
"DE","Sachsen","DE","DE-SN"
"DE","Sachsen-Anhalt","DE","DE-ST"
"DE","Schleswig-Holstein","DE","DE-SH"
"DE","Thuringen","DE","DE-TH"
"DJ","Arta","DJ","DJ-AR"
"DJ","Djibouti","DJ","DJ-DJ"
"DJ","Ali Sabieh","DJ","DJ-AS"
"DJ","Dikhil","DJ","DJ-DI"
"DJ","Obock","DJ","DJ-OB"
"DJ","Tadjourah","DJ","DJ-TA"
"DK","Hovedstaden","DK","DK-84"
"DK","Midtjylland","DK","DK-82"
"DK","Nordjylland","DK","DK-81"
"DK","Sjaelland","DK","DK-85"
"DK","Syddanmark","DK","DK-83"
"DM","Saint Andrew","DM","DM-02"
"DM","Saint George","DM","DM-04"
"DM","Saint John","DM","DM-05"
"DM","Saint Mark","DM","DM-08"
"DM","Saint Paul","DM","DM-10"
"DM","Saint David","DM","DM-03"
"DM","Saint Joseph","DM","DM-06"
"DM","Saint Luke","DM","DM-07"
"DM","Saint Patrick","DM","DM-09"
"DM","Saint Peter","DM","DM-11"
"DO","Azua","DO","DO-02"
"DO","Baoruco","DO","DO-03"
"DO","Barahona","DO","DO-04"
"DO","Dajabon","DO","DO-05"
"DO","Distrito Nacional (Santo Domingo)","DO","DO-01"
"DO","Duarte","DO","DO-06"
"DO","El Seibo","DO","DO-08"
"DO","Espaillat","DO","DO-09"
"DO","Hato Mayor","DO","DO-30"
"DO","Hermanas Mirabal","DO","DO-19"
"DO","Independencia","DO","DO-10"
"DO","La Altagracia","DO","DO-11"
"DO","La Romana","DO","DO-12"
"DO","La Vega","DO","DO-13"
"DO","Maria Trinidad Sanchez","DO","DO-14"
"DO","Monsenor Nouel","DO","DO-28"
"DO","Monte Cristi","DO","DO-15"
"DO","Monte Plata","DO","DO-29"
"DO","Pedernales","DO","DO-16"
"DO","Peravia","DO","DO-17"
"DO","Puerto Plata","DO","DO-18"
"DO","Samana","DO","DO-20"
"DO","San Cristobal","DO","DO-21"
"DO","San Jose de Ocoa","DO","DO-31"
"DO","San Juan","DO","DO-22"
"DO","San Pedro de Macoris","DO","DO-23"
"DO","Sanchez Ramirez","DO","DO-24"
"DO","Santiago","DO","DO-25"
"DO","Santiago Rodriguez","DO","DO-26"
"DO","Valverde","DO","DO-27"
"DO","Elias Pina","DO","DO-07"
"DZ","Adrar","DZ","DZ-01"
"DZ","Ain Defla","DZ","DZ-44"
"DZ","Ain Temouchent","DZ","DZ-46"
"DZ","Alger","DZ","DZ-16"
"DZ","Annaba","DZ","DZ-23"
"DZ","Batna","DZ","DZ-05"
"DZ","Bechar","DZ","DZ-08"
"DZ","Bejaia","DZ","DZ-06"
"DZ","Biskra","DZ","DZ-07"
"DZ","Blida","DZ","DZ-09"
"DZ","Bordj Bou Arreridj","DZ","DZ-34"
"DZ","Bouira","DZ","DZ-10"
"DZ","Boumerdes","DZ","DZ-35"
"DZ","Chlef","DZ","DZ-02"
"DZ","Constantine","DZ","DZ-25"
"DZ","Djelfa","DZ","DZ-17"
"DZ","El Bayadh","DZ","DZ-32"
"DZ","El Oued","DZ","DZ-39"
"DZ","El Tarf","DZ","DZ-36"
"DZ","Ghardaia","DZ","DZ-47"
"DZ","Guelma","DZ","DZ-24"
"DZ","Illizi","DZ","DZ-33"
"DZ","Jijel","DZ","DZ-18"
"DZ","Khenchela","DZ","DZ-40"
"DZ","Laghouat","DZ","DZ-03"
"DZ","M'sila","DZ","DZ-28"
"DZ","Mascara","DZ","DZ-29"
"DZ","Medea","DZ","DZ-26"
"DZ","Mila","DZ","DZ-43"
"DZ","Mostaganem","DZ","DZ-27"
"DZ","Naama","DZ","DZ-45"
"DZ","Oran","DZ","DZ-31"
"DZ","Ouargla","DZ","DZ-30"
"DZ","Oum el Bouaghi","DZ","DZ-04"
"DZ","Relizane","DZ","DZ-48"
"DZ","Saida","DZ","DZ-20"
"DZ","Setif","DZ","DZ-19"
"DZ","Sidi Bel Abbes","DZ","DZ-22"
"DZ","Skikda","DZ","DZ-21"
"DZ","Souk Ahras","DZ","DZ-41"
"DZ","Tamanrasset","DZ","DZ-11"
"DZ","Tebessa","DZ","DZ-12"
"DZ","Tiaret","DZ","DZ-14"
"DZ","Tindouf","DZ","DZ-37"
"DZ","Tipaza","DZ","DZ-42"
"DZ","Tissemsilt","DZ","DZ-38"
"DZ","Tizi Ouzou","DZ","DZ-15"
"DZ","Tlemcen","DZ","DZ-13"
"EC","Azuay","EC","EC-A"
"EC","Bolivar","EC","EC-B"
"EC","Canar","EC","EC-F"
"EC","Carchi","EC","EC-C"
"EC","Chimborazo","EC","EC-H"
"EC","Cotopaxi","EC","EC-X"
"EC","El Oro","EC","EC-O"
"EC","Esmeraldas","EC","EC-E"
"EC","Galapagos","EC","EC-W"
"EC","Guayas","EC","EC-G"
"EC","Imbabura","EC","EC-I"
"EC","Loja","EC","EC-L"
"EC","Los Rios","EC","EC-R"
"EC","Manabi","EC","EC-M"
"EC","Morona Santiago","EC","EC-S"
"EC","Napo","EC","EC-N"
"EC","Orellana","EC","EC-D"
"EC","Pastaza","EC","EC-Y"
"EC","Pichincha","EC","EC-P"
"EC","Santa Elena","EC","EC-SE"
"EC","Santo Domingo de los Tsachilas","EC","EC-SD"
"EC","Sucumbios","EC","EC-U"
"EC","Tungurahua","EC","EC-T"
"EC","Zamora Chinchipe","EC","EC-Z"
"EE","Harjumaa","EE","EE-37"
"EE","Hiiumaa","EE","EE-39"
"EE","Ida-Virumaa","EE","EE-44"
"EE","Jarvamaa","EE","EE-51"
"EE","Jogevamaa","EE","EE-49"
"EE","Laane-Virumaa","EE","EE-59"
"EE","Laanemaa","EE","EE-57"
"EE","Parnumaa","EE","EE-67"
"EE","Polvamaa","EE","EE-65"
"EE","Raplamaa","EE","EE-70"
"EE","Saaremaa","EE","EE-74"
"EE","Tartumaa","EE","EE-78"
"EE","Valgamaa","EE","EE-82"
"EE","Viljandimaa","EE","EE-84"
"EE","Vorumaa","EE","EE-86"
"EG","Ad Daqahliyah","EG","EG-DK"
"EG","Al Bahr al Ahmar","EG","EG-BA"
"EG","Al Buhayrah","EG","EG-BH"
"EG","Al Fayyum","EG","EG-FYM"
"EG","Al Gharbiyah","EG","EG-GH"
"EG","Al Iskandariyah","EG","EG-ALX"
"EG","Al Isma'iliyah","EG","EG-IS"
"EG","Al Jizah","EG","EG-GZ"
"EG","Al Minufiyah","EG","EG-MNF"
"EG","Al Minya","EG","EG-MN"
"EG","Al Qahirah","EG","EG-C"
"EG","Al Qalyubiyah","EG","EG-KB"
"EG","Al Uqsur","EG","EG-LX"
"EG","Al Wadi al Jadid","EG","EG-WAD"
"EG","As Suways","EG","EG-SUZ"
"EG","Ash Sharqiyah","EG","EG-SHR"
"EG","Aswan","EG","EG-ASN"
"EG","Asyut","EG","EG-AST"
"EG","Bani Suwayf","EG","EG-BNS"
"EG","Bur Sa'id","EG","EG-PTS"
"EG","Dumyat","EG","EG-DT"
"EG","Janub Sina'","EG","EG-JS"
"EG","Kafr ash Shaykh","EG","EG-KFS"
"EG","Matruh","EG","EG-MT"
"EG","Qina","EG","EG-KN"
"EG","Shamal Sina'","EG","EG-SIN"
"EG","Suhaj","EG","EG-SHG"
"EH","Western Sahara","EH","EH"
"ER","Al Awsat","ER","ER-MA"
"ER","Al Janubi","ER","ER-DU"
"ER","Ansaba","ER","ER-AS"
"ER","Janubi al Bahri al Ahmar","ER","ER-DK"
"ER","Qash-Barkah","ER","ER-GB"
"ER","Shimali al Bahri al Ahmar","ER","ER-SK"
"ES","Andalucia","ES","ES-AN"
"ES","Aragon","ES","ES-AR"
"ES","Asturias, Principado de","ES","ES-AS"
"ES","Canarias","ES","ES-CN"
"ES","Cantabria","ES","ES-CB"
"ES","Castilla y Leon","ES","ES-CL"
"ES","Castilla-La Mancha","ES","ES-CM"
"ES","Catalunya","ES","ES-CT"
"ES","Ceuta","ES","ES-CE"
"ES","Extremadura","ES","ES-EX"
"ES","Galicia","ES","ES-GA"
"ES","Illes Balears","ES","ES-IB"
"ES","La Rioja","ES","ES-RI"
"ES","Madrid, Comunidad de","ES","ES-MD"
"ES","Melilla","ES","ES-ML"
"ES","Murcia, Region de","ES","ES-MC"
"ES","Navarra, Comunidad Foral de","ES","ES-NC"
"ES","Pais Vasco","ES","ES-PV"
"ES","Valenciana, Comunidad","ES","ES-VC"
"ET","Adis Abeba","ET","ET-AA"
"ET","Afar","ET","ET-AF"
"ET","Amara","ET","ET-AM"
"ET","Binshangul Gumuz","ET","ET-BE"
"ET","Hareri Hizb","ET","ET-HA"
"ET","Oromiya","ET","ET-AA"
"ET","Sumale","ET","ET-SO"
"ET","Tigray","ET","ET-TI"
"ET","YeDebub Biheroch Bihereseboch na Hizboch","ET","ET-SN"
"ET","Dire Dawa","ET","ET-DD"
"ET","Gambela Hizboch","ET","ET-GA"
"FI","Etela-Karjala","FI","FI-02"
"FI","Etela-Pohjanmaa","FI","FI-03"
"FI","Etela-Savo","FI","FI-04"
"FI","Kainuu","FI","FI-05"
"FI","Kanta-Hame","FI","FI-06"
"FI","Keski-Pohjanmaa","FI","FI-07"
"FI","Keski-Suomi","FI","FI-08"
"FI","Kymenlaakso","FI","FI-09"
"FI","Lappi","FI","FI-10"
"FI","Paijat-Hame","FI","FI-16"
"FI","Pirkanmaa","FI","FI-11"
"FI","Pohjanmaa","FI","FI-12"
"FI","Pohjois-Karjala","FI","FI-13"
"FI","Pohjois-Pohjanmaa","FI","FI-14"
"FI","Pohjois-Savo","FI","FI-15"
"FI","Satakunta","FI","FI-17"
"FI","Uusimaa","FI","FI-18"
"FI","Varsinais-Suomi","FI","FI-19"
"FJ","Central","FJ","FJ-C"
"FJ","Eastern","FJ","FJ-E"
"FJ","Northern","FJ","FJ-N"
"FJ","Western","FJ","FJ-W"
"FJ","Rotuma","FJ","FJ-R"
"FK","Falkland Islands (Malvinas)","FK","FK-FK"
"FM","Chuuk","FM","FM"
"FM","Kosrae","FM","FM"
"FM","Pohnpei","FM","FM"
"FM","Yap","FM","FM"
"FO","Eysturoy","FO","FO-OS"
"FO","Nordoyar","FO","FO-NO"
"FO","Streymoy","FO","FO-ST"
"FO","Suduroy","FO","FO-SU"
"FO","Vagar","FO","FO-VG"
"FO","Sandoy","FO","FO-SA"
"FR","Auvergne-Rhone-Alpes","FR","FR-ARA"
"FR","Bourgogne-Franche-Comte","FR","FR-BFC"
"FR","Bretagne","FR","FR-BRE"
"FR","Centre-Val de Loire","FR","FR-CVL"
"FR","Corse","FR","FR-COR"
"FR","Grand-Est","FR","FR-GES"
"FR","Hauts-de-France","FR","FR-HDF"
"FR","Ile-de-France","FR","FR-IDF"
"FR","Normandie","FR","FR-NOR"
"FR","Nouvelle-Aquitaine","FR","FR-NAQ"
"FR","Occitanie","FR","FR-OCC"
"FR","Pays-de-la-Loire","FR","FR-PDL"
"FR","Provence-Alpes-Cote-d'Azur","FR","FR-PAC"
"GA","Estuaire","GA","GA-1"
"GA","Haut-Ogooue","GA","GA-2"
"GA","Moyen-Ogooue","GA","GA-3"
"GA","Ngounie","GA","GA-4"
"GA","Ogooue-Ivindo","GA","GA-6"
"GA","Ogooue-Lolo","GA","GA-7"
"GA","Ogooue-Maritime","GA","GA-8"
"GA","Woleu-Ntem","GA","GA-9"
"GA","Nyanga","GA","GA-5"
"GB","England","GB","GB-UKD"
"GB","Northern Ireland","GB","GB-NIR"
"GB","Scotland","GB","GB-SC"
"GB","Wales","GB","GB-WA"
"GB","England","GB","GB-UKC"
"GB","England","GB","GB-UKE"
"GB","England","GB","GB-UKF"
"GB","England","GB","GB-UKG"
"GB","England","GB","GB-UKH"
"GB","England","GB","GB-UKJ"
"GB","England","GB","GB-UKK"
"GB","England","GB","GB-GL"
"GD","Saint Andrew","GD","GD-01"
"GD","Saint David","GD","GD-02"
"GD","Saint George","GD","GD-03"
"GD","Saint John","GD","GD-04"
"GD","Saint Mark","GD","GD-05"
"GD","Saint Patrick","GD","GD-06"
"GD","Southern Grenadine Islands","GD","GD-10"
"GE","Abkhazia","GE","GE-AB"
"GE","Ajaria","GE","GE-AJ"
"GE","Guria","GE","GE-GU"
"GE","Imereti","GE","GE-IM"
"GE","K'akheti","GE","GE-KA"
"GE","Kvemo Kartli","GE","GE-KK"
"GE","Mtskheta-Mtianeti","GE","GE-MM"
"GE","Rach'a-Lechkhumi-Kvemo Svaneti","GE","GE-RL"
"GE","Samegrelo-Zemo Svaneti","GE","GE-SZ"
"GE","Samtskhe-Javakheti","GE","GE-SJ"
"GE","Shida Kartli","GE","GE-SK"
"GE","Tbilisi","GE","GE-TB"
"GF","Guyane","GF","GF-CY"
"GF","Guyane","GF","GF-SL"
"GG","Guernsey","GG",""
"GH","Ashanti","GH","GH-AH"
"GH","Brong-Ahafo","GH","GH-BA"
"GH","Central","GH","GH-CP"
"GH","Eastern","GH","GH-EP"
"GH","Greater Accra","GH","GH-AA"
"GH","Northern","GH","GH-NP"
"GH","Upper East","GH","GH-UE"
"GH","Volta","GH","GH-TV"
"GH","Western","GH","GH-WP"
"GH","Upper West","GH","GH-UW"
"GI","Gibraltar","GI","GI-GI"
"GL","Avannaata Kommunia","GL","GL-QA"
"GL","Kommune Kujalleq","GL","GL-KU"
"GL","Kommune Qeqertalik","GL","GL-QA"
"GL","Kommuneqarfik Sermersooq","GL","GL-SM"
"GL","Qeqqata Kommunia","GL","GL-QE"
"GM","Banjul","GM","GM-B"
"GM","Central River","GM","GM-M"
"GM","Lower River","GM","GM-L"
"GM","North Bank","GM","GM-N"
"GM","Upper River","GM","GM-U"
"GM","Western","GM","GM-W"
"GN","Boffa","GN","GN-B"
"GN","Boke","GN","GN-B"
"GN","Conakry","GN","GN-C"
"GN","Coyah","GN","GN-D"
"GN","Dabola","GN","GN-F"
"GN","Dalaba","GN","GN-M"
"GN","Dubreka","GN","GN-D"
"GN","Guekedou","GN","GN-N3"
"GN","Kankan","GN","GN-K"
"GN","Kissidougou","GN","GN-F"
"GN","Labe","GN","GN-L"
"GN","Macenta","GN","GN-N3"
"GN","Nzerekore","GN","GN-N3"
"GN","Pita","GN","GN-M"
"GN","Siguiri","GN","GN-K"
"GN","Beyla","GN","GN-N3"
"GN","Dinguiraye","GN","GN-F"
"GN","Faranah","GN","GN-F"
"GN","Forecariah","GN","GN-D"
"GN","Fria","GN","GN-B"
"GN","Gaoual","GN","GN-B"
"GN","Kerouane","GN","GN-K"
"GN","Kindia","GN","GN-D"
"GN","Koubia","GN","GN-L"
"GN","Koundara","GN","GN-B"
"GN","Kouroussa","GN","GN-K"
"GN","Lelouma","GN","GN-L"
"GN","Lola","GN","GN-N3"
"GN","Mali","GN","GN-L"
"GN","Mamou","GN","GN-M"
"GN","Mandiana","GN","GN-K"
"GN","Telimele","GN","GN-D"
"GN","Tougue","GN","GN-L"
"GN","Yomou","GN","GN-N3"
"GP","Guadeloupe","GP","GP-GP"
"GQ","Bioko Norte","GQ","GQ-BN"
"GQ","Bioko Sur","GQ","GQ-BS"
"GQ","Litoral","GQ","GQ-LI"
"GQ","Wele-Nzas","GQ","GQ-WN"
"GQ","Annobon","GQ","GQ-AN"
"GQ","Centro Sur","GQ","GQ-CS"
"GQ","Kie-Ntem","GQ","GQ-KN"
"GR","Agion Oros","GR","GR-69"
"GR","Anatoliki Makedonia kai Thraki","GR","GR-A"
"GR","Attiki","GR","GR-I"
"GR","Dytiki Ellada","GR","GR-G"
"GR","Dytiki Makedonia","GR","GR-C"
"GR","Ionia Nisia","GR","GR-F"
"GR","Ipeiros","GR","GR-D"
"GR","Kentriki Makedonia","GR","GR-B"
"GR","Kriti","GR","GR-M"
"GR","Notio Aigaio","GR","GR-L"
"GR","Peloponnisos","GR","GR-J"
"GR","Sterea Ellada","GR","GR-H"
"GR","Thessalia","GR","GR-E"
"GR","Voreio Aigaio","GR","GR-K"
"GS","South Georgia and the South Sandwich Islands","GS",""
"GT","Alta Verapaz","GT","GT-AV"
"GT","Baja Verapaz","GT","GT-BV"
"GT","Chimaltenango","GT","GT-CM"
"GT","Chiquimula","GT","GT-CQ"
"GT","El Progreso","GT","GT-PR"
"GT","Escuintla","GT","GT-ES"
"GT","Guatemala","GT","GT-GU"
"GT","Huehuetenango","GT","GT-HU"
"GT","Izabal","GT","GT-IZ"
"GT","Jalapa","GT","GT-JA"
"GT","Jutiapa","GT","GT-JU"
"GT","Peten","GT","GT-PE"
"GT","Quetzaltenango","GT","GT-QZ"
"GT","Quiche","GT","GT-QC"
"GT","Retalhuleu","GT","GT-RE"
"GT","Sacatepequez","GT","GT-SA"
"GT","San Marcos","GT","GT-SM"
"GT","Santa Rosa","GT","GT-SR"
"GT","Solola","GT","GT-SO"
"GT","Suchitepequez","GT","GT-SU"
"GT","Totonicapan","GT","GT-TO"
"GT","Zacapa","GT","GT-ZA"
"GU","Agat","GU","GU-GU"
"GU","Asan-Maina","GU","GU-GU"
"GU","Barrigada","GU","GU-GU"
"GU","Chalan Pago-Ordot","GU","GU-GU"
"GU","Dededo","GU","GU-GU"
"GU","Hagatna","GU","GU-GU"
"GU","Mangilao","GU","GU-GU"
"GU","Mongmong-Toto-Maite","GU","GU-GU"
"GU","Piti","GU","GU-GU"
"GU","Santa Rita","GU","GU-GU"
"GU","Sinajana","GU","GU-GU"
"GU","Talofofo","GU","GU-GU"
"GU","Tamuning-Tumon-Harmon","GU","GU-GU"
"GU","Yigo","GU","GU-GU"
"GU","Yona","GU","GU-GU"
"GU","Agana Heights","GU","GU-GU"
"GU","Inarajan","GU","GU-GU"
"GU","Merizo","GU","GU-GU"
"GU","Umatac","GU","GU-GU"
"GW","Bissau","GW","GW-BS"
"GW","Gabu","GW","GW-GA"
"GW","Bafata","GW","GW-BA"
"GW","Biombo","GW","GW-BM"
"GW","Bolama","GW","GW-BL"
"GW","Cacheu","GW","GW-CA"
"GW","Oio","GW","GW-OI"
"GW","Quinara","GW","GW-QU"
"GW","Tombali","GW","GW-TO"
"GY","Demerara-Mahaica","GY","GY-DE"
"GY","East Berbice-Corentyne","GY","GY-EB"
"GY","Essequibo Islands-West Demerara","GY","GY-ES"
"GY","Mahaica-Berbice","GY","GY-MA"
"GY","Pomeroon-Supenaam","GY","GY-PM"
"GY","Upper Demerara-Berbice","GY","GY-UD"
"GY","Barima-Waini","GY","GY-BA"
"GY","Cuyuni-Mazaruni","GY","GY-CU"
"GY","Potaro-Siparuni","GY","GY-PT"
"GY","Upper Takutu-Upper Essequibo","GY","GY-UT"
"HK","Hong Kong","HK","HK-KI"
"HK","Hong Kong","HK","HK-WT"
"HK","Hong Kong","HK","HK-TW"
"HK","Hong Kong","HK","HK-SS"
"HK","Hong Kong","HK","HK-KC"
"HK","Hong Kong","HK","HK-TM"
"HK","Hong Kong","HK","HK-KU"
"HK","Hong Kong","HK","HK-YT"
"HK","Hong Kong","HK","HK-IS"
"HK","Hong Kong","HK","HK-NO"
"HK","Hong Kong","HK","HK-YL"
"HK","Hong Kong","HK","HK-TP"
"HK","Hong Kong","HK","HK-ST"
"HK","Hong Kong","HK","HK-EA"
"HK","Hong Kong","HK","HK-CW"
"HK","Hong Kong","HK","HK-WC"
"HK","Hong Kong","HK","HK-SK"
"HK","Hong Kong","HK","HK-SO"
"HN","Atlantida","HN","HN-AT"
"HN","Choluteca","HN","HN-CH"
"HN","Colon","HN","HN-CL"
"HN","Comayagua","HN","HN-CM"
"HN","Copan","HN","HN-CP"
"HN","Cortes","HN","HN-CR"
"HN","El Paraiso","HN","HN-EP"
"HN","Francisco Morazan","HN","HN-FM"
"HN","Intibuca","HN","HN-IN"
"HN","Islas de la Bahia","HN","HN-IB"
"HN","La Paz","HN","HN-LP"
"HN","Lempira","HN","HN-LE"
"HN","Ocotepeque","HN","HN-OC"
"HN","Olancho","HN","HN-OL"
"HN","Santa Barbara","HN","HN-SB"
"HN","Valle","HN","HN-VA"
"HN","Yoro","HN","HN-YO"
"HN","Gracias a Dios","HN","HN-GD"
"HR","Bjelovarsko-bilogorska zupanija","HR","HR-07"
"HR","Brodsko-posavska zupanija","HR","HR-12"
"HR","Dubrovacko-neretvanska zupanija","HR","HR-19"
"HR","Grad Zagreb","HR","HR-21"
"HR","Istarska zupanija","HR","HR-18"
"HR","Karlovacka zupanija","HR","HR-04"
"HR","Koprivnicko-krizevacka zupanija","HR","HR-06"
"HR","Krapinsko-zagorska zupanija","HR","HR-02"
"HR","Licko-senjska zupanija","HR","HR-09"
"HR","Medimurska zupanija","HR","HR-20"
"HR","Osjecko-baranjska zupanija","HR","HR-14"
"HR","Pozesko-slavonska zupanija","HR","HR-11"
"HR","Primorsko-goranska zupanija","HR","HR-08"
"HR","Sibensko-kninska zupanija","HR","HR-15"
"HR","Sisacko-moslavacka zupanija","HR","HR-03"
"HR","Splitsko-dalmatinska zupanija","HR","HR-17"
"HR","Varazdinska zupanija","HR","HR-05"
"HR","Viroviticko-podravska zupanija","HR","HR-10"
"HR","Vukovarsko-srijemska zupanija","HR","HR-16"
"HR","Zadarska zupanija","HR","HR-13"
"HR","Zagrebacka zupanija","HR","HR-01"
"HT","Artibonite","HT","HT-AR"
"HT","Centre","HT","HT-CE"
"HT","Grande'Anse","HT","HT-GA"
"HT","Nippes","HT","HT-NI"
"HT","Nord","HT","HT-ND"
"HT","Nord-Est","HT","HT-NE"
"HT","Ouest","HT","HT-OU"
"HT","Sud","HT","HT-SD"
"HT","Sud-Est","HT","HT-SE"
"HT","Nord-Ouest","HT","HT-NO"
"HU","Bacs-Kiskun","HU","HU-BK"
"HU","Baranya","HU","HU-BA"
"HU","Bekes","HU","HU-BE"
"HU","Borsod-Abauj-Zemplen","HU","HU-BZ"
"HU","Budapest","HU","HU-BU"
"HU","Csongrad","HU","HU-CS"
"HU","Fejer","HU","HU-FE"
"HU","Gyor-Moson-Sopron","HU","HU-GS"
"HU","Hajdu-Bihar","HU","HU-HB"
"HU","Heves","HU","HU-HE"
"HU","Jasz-Nagykun-Szolnok","HU","HU-JN"
"HU","Komarom-Esztergom","HU","HU-KE"
"HU","Nograd","HU","HU-NO"
"HU","Pest","HU","HU-PE"
"HU","Somogy","HU","HU-SO"
"HU","Szabolcs-Szatmar-Bereg","HU","HU-SZ"
"HU","Tolna","HU","HU-TO"
"HU","Vas","HU","HU-VA"
"HU","Veszprem","HU","HU-VE"
"HU","Zala","HU","HU-ZA"
"ID","Aceh","ID","ID-AC"
"ID","Bali","ID","ID-BA"
"ID","Banten","ID","ID-BT"
"ID","Bengkulu","ID","ID-BE"
"ID","Gorontalo","ID","ID-GO"
"ID","Jakarta Raya","ID","ID-JK"
"ID","Jambi","ID","ID-JA"
"ID","Jawa Barat","ID","ID-JB"
"ID","Jawa Tengah","ID","ID-JT"
"ID","Jawa Timur","ID","ID-JI"
"ID","Kalimantan Barat","ID","ID-KB"
"ID","Kalimantan Selatan","ID","ID-KS"
"ID","Kalimantan Tengah","ID","ID-KT"
"ID","Kalimantan Timur","ID","ID-KI"
"ID","Kalimantan Utara","ID","ID-KU"
"ID","Kepulauan Bangka Belitung","ID","ID-BB"
"ID","Kepulauan Riau","ID","ID-KR"
"ID","Lampung","ID","ID-LA"
"ID","Maluku","ID","ID-MA"
"ID","Maluku Utara","ID","ID-MU"
"ID","Nusa Tenggara Barat","ID","ID-NB"
"ID","Nusa Tenggara Timur","ID","ID-NT"
"ID","Papua","ID","ID-PA"
"ID","Papua Barat","ID","ID-PB"
"ID","Riau","ID","ID-RI"
"ID","Sulawesi Barat","ID","ID-SR"
"ID","Sulawesi Selatan","ID","ID-SN"
"ID","Sulawesi Tengah","ID","ID-ST"
"ID","Sulawesi Tenggara","ID","ID-SG"
"ID","Sulawesi Utara","ID","ID-SA"
"ID","Sumatera Barat","ID","ID-SB"
"ID","Sumatera Selatan","ID","ID-SS"
"ID","Sumatera Utara","ID","ID-SU"
"ID","Yogyakarta","ID","ID-YO"
"IE","Carlow","IE","IE-CW"
"IE","Cavan","IE","IE-CN"
"IE","Clare","IE","IE-CE"
"IE","Cork","IE","IE-CO"
"IE","Donegal","IE","IE-DL"
"IE","Dublin","IE","IE-D"
"IE","Galway","IE","IE-G"
"IE","Kerry","IE","IE-KY"
"IE","Kildare","IE","IE-KE"
"IE","Kilkenny","IE","IE-KK"
"IE","Laois","IE","IE-LS"
"IE","Leitrim","IE","IE-LM"
"IE","Limerick","IE","IE-LK"
"IE","Longford","IE","IE-LD"
"IE","Louth","IE","IE-LH"
"IE","Mayo","IE","IE-MO"
"IE","Meath","IE","IE-MH"
"IE","Monaghan","IE","IE-MN"
"IE","Offaly","IE","IE-OY"
"IE","Roscommon","IE","IE-RN"
"IE","Sligo","IE","IE-SO"
"IE","Tipperary","IE","IE-TA"
"IE","Waterford","IE","IE-WD"
"IE","Westmeath","IE","IE-WH"
"IE","Wexford","IE","IE-WX"
"IE","Wicklow","IE","IE-WW"
"IL","HaDarom","IL","IL-D"
"IL","HaMerkaz","IL","IL-M"
"IL","HaTsafon","IL","IL-Z"
"IL","Hefa","IL","IL-HA"
"IL","Tel Aviv","IL","IL-TA"
"IL","Yerushalayim","IL","IL-JM"
"IM","Isle of Man","IM","IM"
"IN","Andaman and Nicobar Islands","IN","IN-AN"
